+-----+--------------------------+---------+--------------+--------------------------------------+-----------------------------------+----------------+----------+-----------+--------+
|  id | created                  | state   | instancename | name                                 | displayname                       | account        | haenable | cpunumber | memory |
| 131 | 2013-06-07T11:45:38+0800 | Running | i-15-1764-VM | SJZX-10                              | SJZX-10                           | gdupc          |  False   |     4     | 4.0GB  |
| 132 | 2013-06-07T11:44:41+0800 | Running | i-15-1763-VM | SJZX-09                              | SJZX-09                           | gdupc          |  False   |     4     | 4.0GB  |
| 133 | 2013-06-07T11:43:41+0800 | Running | i-15-1762-VM | SJZX-08                              | SJZX-08                           | gdupc          |  False   |     4     | 4.0GB  |
| 134 | 2013-06-07T11:42:20+0800 | Running | i-15-1761-VM | SJZX-07                              | SJZX-07                           | gdupc          |  False   |     2     | 4.0GB  |
| 135 | 2013-06-07T11:41:04+0800 | Running | i-15-1760-VM | SJZX-06                              | SJZX-06                           | gdupc          |  False   |     2     | 4.0GB  |
| 136 | 2013-06-07T11:40:21+0800 | Running | i-15-1759-VM | SJZX-05                              | SJZX-05                           | gdupc          |  False   |     4     | 4.0GB  |
| 137 | 2013-06-07T11:38:29+0800 | Running | i-15-1758-VM | SJZX-04                              | SJZX-04                           | gdupc          |  False   |     4     | 8.0GB  |
| 138 | 2013-06-07T10:03:46+0800 | Running | i-15-1757-VM | SJZX03                               | SJZX03                            | gdupc          |  False   |     4     | 8.0GB  |
| 139 | 2013-06-06T16:10:11+0800 | Running | i-15-1752-VM | SJZX02                               | SJZX02                            | gdupc          |  False   |     4     | 8.0GB  |
| 140 | 2013-06-06T15:43:19+0800 | Running | i-15-1751-VM | SJZX01                               | SJZX01                            | gdupc          |  False   |     2     | 4.0GB  |
| 141 | 2013-06-05T10:15:21+0800 | Running | i-10-1748-VM | tianren-web-db-is                    | tianren-web-db-is                 | dangyuanzhijia |  False   |     4     | 6.0GB  |
| 142 | 2013-06-05T10:14:18+0800 | Running | i-10-1747-VM | tianren-web-is                       | tianren-web-is                    | dangyuanzhijia |  False   |     4     | 6.0GB  |
| 143 | 2013-05-31T16:40:56+0800 | Stopped | i-18-1737-VM | depmanage                            | stoptmp-depmanage                 | isinternal     |  False   |     4     | 4.0GB  |
| 144 | 2013-04-03T13:40:56+0800 | Stopped | i-7-1352-VM  | TAIQI-DATA-COLLECT                   | (stop-tmp)TAIQI-DATA-COLLECT      | fengce         |  False   |     2     | 2.0GB  |
| 145 | 2013-04-03T13:40:01+0800 | Stopped | i-7-1351-VM  | TAIQI-WEB-SERVER                     | (stoped-tmp)TAIQI-WEB-SERVER      | fengce         |  False   |     2     | 2.0GB  |
| 146 | 2013-04-03T13:38:54+0800 | Stopped | i-7-1350-VM  | TAIQI-FILE-UPLOAD                    | (stoped-tmp)TAIQI-FILE-UPLOAD     | fengce         |   True   |     2     | 3.0GB  |
