-----SNMP query started-----
1: productType.0 pciBased(2)
2: productVersion.0 NetApp Release 8.1.1 7-Mode: Mon Jul 30 12:49:46 PDT 2012
3: productId.0 2014941127
4: productVendor.0 netapp(1)
5: productModel.0 FAS3240
6: productFirmwareVersion.0 5.1.1
7: productGuiUrl.0 https://:443/na_admin
8: productApiUrl.0 https://:443/servlets/netapp.servlets.admin.XMLrequest_filer
9: productSerialNum.0 850000223796
10: productPartnerSerialNum.0 unknown
11: productCPUArch.0 5
12: productTrapData.0 Trap variable currrently unused.
13: productMachineType.0 FAS3240
643: v3Read8KCalls.0 1194242121
644: v3Read16KCalls.0 676284866
645: v3Read32KCalls.0 1154852579
646: v3Read64KCalls.0 226626151
647: v3Read128KCalls.0 316956749
648: v3Write512Calls.0 7306165
649: v3Write1KCalls.0 435020784
650: v3Write2KCalls.0 428578412
651: v3Write4KCalls.0 475289143
652: v3Write8KCalls.0 3584238825
653: v3Write16KCalls.0 3084434205
654: v3Write32KCalls.0 1255150710
655: v3Write64KCalls.0 612470886
656: v3Write128KCalls.0 1073158296
657: pclNumber.0 0
658: trpcCalls.0 39915381
659: trpcBadCalls.0 1836
660: trpcNullRecvs.0 0
661: trpcBadLens.0 0
662: trpcServXDRCalls.0 39915394
663: tnfsCalls.0 39784107
664: tnfsServBadCalls.0 0
665: tv2cNulls.0 0
666: tv2cGetattrs.0 0
667: tv2cSetattrs.0 0
668: tv2cRoots.0 0
669: tv2cLookups.0 0
670: tv2cReadlinks.0 0
671: tv2cReads.0 0
672: tv2cWrcaches.0 0
673: tv2cWrites.0 0
674: tv2cCreates.0 0
675: tv2cRemoves.0 0
676: tv2cRenames.0 0
677: tv2cLinks.0 0
678: tv2cSymlinks.0 0
679: tv2cMkdirs.0 0
680: tv2cRmdirs.0 0
681: tv2cReaddirs.0 0
682: tv2cStatfss.0 0
683: tv2pNulls.0 0
684: tv2pGetattrs.0 0
685: tv2pSetattrs.0 0
686: tv2pRoots.0 0
687: tv2pLookups.0 0
688: tv2pReadlinks.0 0
689: tv2pReads.0 0
690: tv2pWrcaches.0 0
691: tv2pWrites.0 0
692: tv2pCreates.0 0
693: tv2pRemoves.0 0
694: tv2pRenames.0 0
695: tv2pLinks.0 0
696: tv2pSymlinks.0 0
697: tv2pMkdirs.0 0
698: tv2pRmdirs.0 0
699: tv2pReaddirs.0 0
700: tv2pStatfss.0 0
701: tv2ccNulls.0 0
702: tv2ccGetattrs.0 0
703: tv2ccSetattrs.0 0
704: tv2ccRoots.0 0
705: tv2ccLookups.0 0
706: tv2ccReadlinks.0 0
707: tv2ccReads.0 0
708: tv2ccWrcaches.0 0
709: tv2ccWrites.0 0
710: tv2ccCreates.0 0
711: tv2ccRemoves.0 0
712: tv2ccRenames.0 0
713: tv2ccLinks.0 0
714: tv2ccSymlinks.0 0
715: tv2ccMkdirs.0 0
716: tv2ccRmdirs.0 0
717: tv2ccReaddirs.0 0
718: tv2ccStatfss.0 0
719: tv2cpNulls.0 0
720: tv2cpGetattrs.0 0
721: tv2cpSetattrs.0 0
722: tv2cpRoots.0 0
723: tv2cpLookups.0 0
724: tv2cpReadlinks.0 0
725: tv2cpReads.0 0
726: tv2cpWrcaches.0 0
727: tv2cpWrites.0 0
728: tv2cpCreates.0 0
729: tv2cpRemoves.0 0
730: tv2cpRenames.0 0
731: tv2cpLinks.0 0
732: tv2cpSymlinks.0 0
733: tv2cpMkdirs.0 0
734: tv2cpRmdirs.0 0
735: tv2cpReaddirs.0 0
736: tv2cpStatfss.0 0
737: tv3cNulls.0 2878
738: tv3cGetattrs.0 1283849167
739: tv3cSetattrs.0 7305335
740: tv3cLookups.0 1120634
741: tv3cAccesss.0 823155100
742: tv3cReadlinks.0 1
743: tv3cReads.0 4135687908
744: tv3cWrites.0 2365887581
745: tv3cCreates.0 1539
746: tv3cMkdirs.0 281
747: tv3cSymlinks.0 0
748: tv3cMknods.0 0
749: tv3cRemoves.0 688
750: tv3cRmdirs.0 588
751: tv3cRenames.0 341
752: tv3cLinks.0 0
753: tv3cReaddirs.0 0
754: tv3cReaddirPluss.0 12960
755: tv3cFsstats.0 12690129
756: tv3cFsinfos.0 3672
757: tv3cPathconfs.0 33
758: tv3cCommits.0 0
759: tv3pNulls.0 0
760: tv3pGetattrs.0 6
761: tv3pSetattrs.0 0
762: tv3pLookups.0 0
763: tv3pAccesss.0 4
764: tv3pReadlinks.0 0
765: tv3pReads.0 19
766: tv3pWrites.0 71
767: tv3pCreates.0 0
768: tv3pMkdirs.0 0
769: tv3pSymlinks.0 0
770: tv3pMknods.0 0
771: tv3pRemoves.0 0
772: tv3pRmdirs.0 0
773: tv3pRenames.0 0
774: tv3pLinks.0 0
775: tv3pReaddirs.0 0
776: tv3pReaddirPluss.0 0
777: tv3pFsstats.0 0
778: tv3pFsinfos.0 0
