02:00:27:6e:00:0b , i-10-1807-VM , webportal , 172.17.0.26 , dangyuanzhijia , 6 , 8192 , Running , false , 2013-07-08T16:31:00+0800 , 6CPU-8G-is-nfs-slow , XenServer
02:00:55:e0:00:0b , i-14-1806-VM , SAPIDES , 172.17.0.19 , erp , 8 , 16384 , Running , false , 2013-07-08T14:11:06+0800 , 8CPU-16G-10G-is-lun-fast , XenServer
02:00:3b:b2:00:3e , i-15-1797-VM , SJZX29 , 192.168.31.33 , gdupc , 2 , 4096 , Running , false , 2013-06-21T16:18:00+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:2b:5b:00:3c , i-15-1795-VM , SJZX27 , 192.168.31.31 , gdupc , 2 , 4096 , Running , false , 2013-06-21T16:14:46+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:43:e3:00:3b , i-15-1794-VM , SJZX26 , 192.168.31.146 , gdupc , 2 , 4096 , Running , false , 2013-06-21T16:13:32+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:38:70:00:3a , i-15-1793-VM , SJZX16 , 192.168.31.62 , gdupc , 4 , 4096 , Running , false , 2013-06-21T16:03:32+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:27:44:00:39 , i-15-1792-VM , SJZX15 , 192.168.31.48 , gdupc , 4 , 4096 , Running , false , 2013-06-21T15:31:18+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:42:25:00:38 , i-15-1791-VM , SJZX25 , 192.168.31.24 , gdupc , 2 , 4096 , Running , false , 2013-06-21T10:51:27+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:2b:bb:00:37 , i-15-1790-VM , SJZX24 , 192.168.31.19 , gdupc , 2 , 4096 , Running , false , 2013-06-21T10:50:23+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:78:ab:00:36 , i-15-1789-VM , SJZX23 , 192.168.31.18 , gdupc , 2 , 4096 , Running , false , 2013-06-21T10:49:25+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:04:ce:00:35 , i-15-1788-VM , SJZX22 , 192.168.31.17 , gdupc , 2 , 4096 , Running , false , 2013-06-21T10:48:55+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:57:6e:00:34 , i-15-1787-VM , SJZX21 , 192.168.31.16 , gdupc , 4 , 4096 , Running , false , 2013-06-21T10:32:18+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:54:27:00:33 , i-15-1786-VM , SJZX20 , 192.168.31.15 , gdupc , 4 , 4096 , Running , false , 2013-06-21T09:29:12+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:38:cb:00:32 , i-15-1785-VM , SJZX19 , 192.168.31.193 , gdupc , 4 , 4096 , Running , false , 2013-06-21T09:28:35+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:2c:dd:00:31 , i-15-1784-VM , SJZX18 , 192.168.31.197 , gdupc , 4 , 4096 , Running , false , 2013-06-21T09:27:56+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:0b:ed:00:30 , i-15-1783-VM , SJZX17 , 192.168.31.88 , gdupc , 4 , 4096 , Running , false , 2013-06-20T17:33:42+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:3d:a0:00:03 , i-12-1398-VM , nagios02 , 192.168.31.12 , ruanjianyanfa , 2 , 4096 , Running , false , 2013-04-19T10:55:50+0800 , 2CPU-4G , XenServer
02:00:69:82:00:16 , i-15-1397-VM , modbus2 , 192.168.31.170 , gdupc , 2 , 8192 , Running , false , 2013-04-16T14:23:28+0800 , 2CPU-8G-primary-nfs-slow , XenServer
02:00:62:27:00:0b , i-2-1780-VM , digitalpw , 192.168.31.151 , admin , 2 , 4096 , Stopped , false , 2013-06-17T13:49:49+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:2e:26:00:15 , i-15-1396-VM , modbus1 , 192.168.31.7 , gdupc , 2 , 8192 , Running , false , 2013-04-16T14:20:02+0800 , 2CPU-8G-primary-nfs-slow , XenServer
02:00:14:30:00:2d , i-15-1779-VM , data-transmit , 192.168.31.139 , gdupc , 4 , 4096 , Running , false , 2013-06-17T10:44:46+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:32:8b:00:03 , i-18-1778-VM , mobilOA , 172.17.0.25 , isinternal , 4 , 4096 , Stopped , false , 2013-06-14T10:24:16+0800 , 4CPU-4G-is-nfs-slow , XenServer
02:00:49:37:00:0b , i-16-1777-VM , vm001 , 172.17.0.10 , jituanoamis , 4 , 6144 , Running , false , 2013-06-13T16:49:37+0800 , 4CPU-6G-is-nfs-slow , XenServer
02:00:02:a7:00:0a , i-14-1776-VM , is-SVN , 172.17.0.24 , erp , 4 , 4096 , Running , false , 2013-06-13T15:21:03+0800 , 4CPU-4G-is-nfs-slow , XenServer
02:00:5d:c1:00:03 , i-2-1775-VM , centos62-64-minidesktop ,  , admin , 2 , 4096 , Stopped , false , 2013-06-13T10:02:24+0800 , 2CPU-4G-NA-SLOW-XEN , XenServer
02:00:5a:ec:00:2c , i-9-1391-VM , portal-server3 , 192.168.32.67 , jituanmenhu , 8 , 32768 , Running , true , 2013-04-14T23:18:05+0800 , 8CPU-32G-HA-naslow , KVM
02:00:4d:a5:00:2c , i-15-1770-VM , data-receive , 192.168.31.45 , gdupc , 4 , 4096 , Running , false , 2013-06-07T13:04:42+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:44:e8:00:2b , i-15-1768-VM , SJZX-14 , 192.168.31.46 , gdupc , 4 , 4096 , Running , false , 2013-06-07T11:49:06+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:04:29:00:2a , i-15-1767-VM , SJZX-13 , 192.168.31.47 , gdupc , 4 , 4096 , Running , false , 2013-06-07T11:48:17+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:6e:fc:00:29 , i-15-1766-VM , SJZX-12 , 192.168.31.70 , gdupc , 2 , 4096 , Running , false , 2013-06-07T11:47:28+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:79:1f:00:28 , i-15-1765-VM , SJZX-11 , 192.168.31.42 , gdupc , 4 , 4096 , Running , false , 2013-06-07T11:46:17+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:21:21:00:27 , i-15-1764-VM , SJZX-10 , 192.168.31.44 , gdupc , 4 , 4096 , Running , false , 2013-06-07T11:45:38+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:4c:53:00:26 , i-15-1763-VM , SJZX-09 , 192.168.31.150 , gdupc , 4 , 4096 , Running , false , 2013-06-07T11:44:41+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:42:ee:00:25 , i-15-1762-VM , SJZX-08 , 192.168.31.172 , gdupc , 4 , 4096 , Running , false , 2013-06-07T11:43:41+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:30:30:00:24 , i-15-1761-VM , SJZX-07 , 192.168.31.173 , gdupc , 2 , 4096 , Running , false , 2013-06-07T11:42:20+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:7c:01:00:23 , i-15-1760-VM , SJZX-06 , 192.168.31.186 , gdupc , 2 , 4096 , Running , false , 2013-06-07T11:41:04+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:61:63:00:07 , i-16-1376-VM , jituanmis3 , 192.168.32.133 , jituanoamis , 2 , 4096 , Running , false , 2013-04-12T13:39:00+0800 , 2CPU-4G , KVM
