Running/fengce;CHONGLI-FILE-UPLOAD;i-7-1290-VM;sw01;192.168.31.135;lan|prod|ping
Running/fengce;DIAOBINGSHAN-FILE-UPLOAD;i-7-1289-VM;sw01;192.168.31.128;lan|prod|ping
Running/fengce;CHONGLI-LOCALPRED;i-7-1287-VM;sw01;192.168.31.134;lan|prod|ping
Running/weiwang;weiwang-HMI;i-6-137-VM;sw01;192.168.31.83;lan|prod|ping
Running/weiwang;weiwang-VeStoreDB;i-6-136-VM;sw01;192.168.31.113;lan|prod|ping
Running/weiwang;weiwang-Alarm;i-6-135-VM;sw01;192.168.31.117;lan|prod|ping
Running/weiwang;weiwang-HistoryDB;i-6-134-VM;sw01;192.168.31.114;lan|prod|ping
Running/fengce;DIAOBINGSHAN-DATA-COLLECT;i-7-1283-VM;sw01;192.168.31.131;lan|prod|ping
Running/weiwang;weiwang-Config;i-6-133-VM;sw01;192.168.31.115;lan|prod|ping
Running/fengce;DIAOBINGSHAN-WEB-SERVER;i-7-1282-VM;sw01;192.168.31.130;lan|prod|ping
Running/fengce;DIAOBINGSHAN-VESTORE-DB;i-7-1281-VM;sw01;192.168.31.129;lan|prod|ping
Running/weiwang;weiwang-IOServer;i-6-131-VM;sw01;192.168.31.190;lan|prod|ping
Running/weiwang;weiwang-Picture;i-6-129-VM;sw01;192.168.31.60;lan|prod|ping
Running/weiwang;weiwang-RealDB;i-6-128-VM;sw01;192.168.31.112;lan|prod|ping
Running/ranshaoyouhua;ranshaoyouhua;i-13-1270-VM;sw01;192.168.31.98;lan|prod|ping
Running/fengce;wpfs-web-dev2;i-7-116-VM;sw01;192.168.31.165;lan|prod|ping
Running/fengce;WPFRTInterfaceTest;i-7-1262-VM;sw01;192.168.31.122;lan|prod|ping
Running/fengce;WPFRTInterface;i-7-1261-VM;sw01;192.168.31.158;lan|prod|ping
Running/dianzhan;Taian-p6;i-19-1982-VM;sw01;192.168.31.141;lan|prod|ping
Running/dianzhan;Taian-Mis;i-19-1981-VM;sw01;192.168.31.1;lan|prod|ping
Running/dianzhan;Taian-oracle;i-19-1980-VM;sw01;192.168.31.147;lan|prod|ping
Running/xenvip;nano-techweb;i-17-1976-VM;sw01;172.17.0.91;lan|prod|ping
Running/gdupc;modbus3;i-15-1975-VM;sw01;192.168.31.125;lan|prod|ping
Running/isinternal;ERPR3LOAD1;i-18-1974-VM;sw01;172.17.0.60;lan|prod|ping
Running/dianzhan;rtsystem-win7;i-19-1973-VM;sw01;192.168.31.99;lan|prod|ping
Stopped/test;(no)rsyh-zsltest;i-21-1968-VM;sw01;192.168.31.189;offline|ping|lan
Running/gdupc;SJZX39;i-15-1967-VM;sw01;192.168.31.61;lan|prod|ping
Running/fengce;beizhen-localpred;i-7-1964-VM;sw01;192.168.31.66;lan|prod|ping
Running/fengce;webfigures2;i-7-1958-VM;sw01;192.168.31.65;lan|prod|ping
Stopped/fengce;webfigures1;i-7-1957-VM;sw01;192.168.31.64;offline|ping|lan
Running/isinternal;jijianmis-xs;i-18-1956-VM;sw01;172.17.0.59;lan|prod|ping
Running/jituanmenhu;khSVN-xs;i-9-1955-VM;sw01;192.168.31.78;lan|prod|ping
Running/jituanmenhu;appbackup-xs;i-9-1954-VM;sw01;192.168.31.138;lan|prod|ping
Running/jituanmenhu;ReportRelease-xs;i-9-1953-VM;sw01;192.168.31.133;lan|prod|ping
Running/dangyuanzhijia;TRneiwang-web;i-10-1952-VM;sw01;172.17.0.112;lan|prod|ping
Running/ruanjianyanfa;mgmt-swdev;i-12-1950-VM;sw01;192.168.31.174;lan|prod|ping
Running/caigoupingtai;KHDOC2;i-22-1949-VM;sw01;172.17.0.80;lan|prod|ping
Running/caigoupingtai;KHDOC1;i-22-1948-VM;sw01;172.17.0.79;lan|prod|ping
Running/caigoupingtai;GDSXMIS;i-22-1947-VM;sw01;172.17.0.78;lan|prod|ping
Running/jituanmenhu;ldap-server-xs;i-9-1945-VM;sw01;192.168.31.132;lan|prod|ping
Running/jituanmenhu;portal-server-xs;i-9-1944-VM;sw01;192.168.31.126;lan|prod|ping
Running/ranshaoyouhua;RSYHCLOUD4;i-13-1939-VM;sw01;192.168.31.58;lan|prod|ping
Running/ranshaoyouhua;RSYHCLOUD3;i-13-1938-VM;sw01;192.168.31.55;lan|prod|ping
Running/ranshaoyouhua;RSYHCLOUD2;i-13-1937-VM;sw01;192.168.31.30;lan|prod|ping
Running/prodgdhr;HRCSQ;i-23-1936-VM;sw01;172.17.0.107;lan|prod|ping
Running/prodgdhr;HRCSD;i-23-1935-VM;sw01;172.17.0.106;lan|prod|ping
Running/prodgdhr;HRDOCQ;i-23-1934-VM;sw01;172.17.0.105;lan|prod|ping
Running/prodgdhr;HRTRQ;i-23-1932-VM;sw01;172.17.0.103;lan|prod|ping
Running/prodgdhr;HRTRD;i-23-1931-VM;sw01;172.17.0.102;lan|prod|ping
Running/prodgdhr;HRBOQ;i-23-1930-VM;sw01;172.17.0.101;lan|prod|ping
Running/prodgdhr;HRCSP;i-23-1929-VM;sw01;172.17.0.100;lan|prod|ping
Running/prodgdhr;HRTRP;i-23-1928-VM;sw01;172.17.0.99;lan|prod|ping
Running/prodgdhr;HRDOCP;i-23-1927-VM;sw01;172.17.0.98;lan|prod|ping
Running/prodgdhr;HRAFP;i-23-1926-VM;sw01;172.17.0.97;lan|prod|ping
Running/prodgdhr;HRBOP;i-23-1925-VM;sw01;172.17.0.96;lan|prod|ping
Running/prodgdhr;HREPP;i-23-1924-VM;sw01;172.17.0.95;lan|prod|ping
Running/prodgdhr;HRBWP;i-23-1923-VM;sw01;172.17.0.94;lan|prod|ping
Running/prodgdhr;HRPRD;i-23-1921-VM;sw01;172.17.0.93;lan|prod|ping
Running/gdupc;(no)SJZX38;i-15-1918-VM;sw01;192.168.31.14;lan|prod|ping
Running/test;SVMS;i-21-1917-VM;sw01;192.168.31.188;lan|prod|ping
